    0.00 
    0.20 V
      frequency    real         imag
      256.38    -0.0003106    -0.0005396
      256.39    -0.0003283    -0.0008007
      256.40    -0.0001350    -0.0007034
      256.41    -0.0003001    -0.0006316
      256.42    -0.0003094    -0.0006911
      256.44    -0.0003081    -0.0007470
      256.45    -0.0003705    -0.0007474
      256.46    -0.0001862    -0.0006973
      256.47    -0.0003304    -0.0007438
      256.48    -0.0002437    -0.0007893
      256.49    -0.0002575    -0.0007185
      256.50    -0.0001063    -0.0008286
      256.51    -0.0002660    -0.0007849
      256.52    -0.0001867    -0.0006868
      256.53    -0.0000471    -0.0006149
      256.55    -0.0003705    -0.0007464
      256.56    -0.0001948    -0.0008585
      256.57    -0.0003423    -0.0006203
      256.58    -0.0003398    -0.0008446
      256.59    -0.0003650    -0.0007029
      256.60    -0.0002052    -0.0008101
      256.61    -0.0002702    -0.0006285
      256.62    -0.0001566    -0.0007723
      256.63    -0.0002179    -0.0008703
      256.64    -0.0002609    -0.0007548
      256.66    -0.0002376    -0.0006613
      256.67    -0.0004090    -0.0006450
      256.68    -0.0002624    -0.0007000
      256.69    -0.0002114    -0.0008458
      256.70    -0.0002657    -0.0006433
      256.71    -0.0003524    -0.0005330
      256.72    -0.0002176    -0.0007143
      256.73    -0.0002574    -0.0006594
      256.74    -0.0002560    -0.0006112
      256.75    -0.0001567    -0.0007870
      256.77    -0.0003838    -0.0007420
      256.78    -0.0003992    -0.0006646
      256.79    -0.0002948    -0.0006721
      256.80    -0.0003669    -0.0007034
      256.81    -0.0003121    -0.0005405
      256.82    -0.0003691    -0.0006858
      256.83    -0.0003799    -0.0007567
      256.84    -0.0002527    -0.0007254
      256.85    -0.0003551    -0.0008170
      256.86    -0.0002679    -0.0006869
      256.88    -0.0003090    -0.0005305
      256.89    -0.0003909    -0.0009035
      256.90    -0.0000878    -0.0006085
      256.91    -0.0002605    -0.0006282
      256.92    -0.0002649    -0.0006792
      256.93    -0.0003212    -0.0007406
      256.94    -0.0003502    -0.0008341
      256.95    -0.0003302    -0.0005727
      256.96    -0.0002895    -0.0007228
      256.97    -0.0001905    -0.0008045
      256.99    -0.0005168    -0.0005406
      257.00    -0.0003047    -0.0006981
      257.01    -0.0003021    -0.0007056
      257.02    -0.0002460    -0.0006981
      257.03    -0.0002529    -0.0004260
      257.04    -0.0002033    -0.0006316
      257.05    -0.0002651    -0.0006131
      257.06    -0.0002353    -0.0005975
      257.07    -0.0003643    -0.0008524
      257.08    -0.0004016    -0.0007624
      257.10    -0.0003304    -0.0006322
      257.11    -0.0002453    -0.0007128
      257.12    -0.0003165    -0.0006569
      257.13    -0.0001005    -0.0006147
      257.14    -0.0002426    -0.0007929
      257.15    -0.0002989    -0.0008714
      257.16    -0.0003482    -0.0007104
      257.17    -0.0002734    -0.0006602
      257.18    -0.0003279    -0.0008580
      257.19    -0.0003648    -0.0007018
      257.21    -0.0002187    -0.0006845
      257.22    -0.0002796    -0.0007666
      257.23    -0.0003283    -0.0006932
      257.24    -0.0002320    -0.0006354
      257.25    -0.0002873    -0.0007338
      257.26    -0.0005567    -0.0006894
      257.27    -0.0002675    -0.0006437
      257.28    -0.0001539    -0.0007913
      257.29    -0.0001605    -0.0007170
      257.30    -0.0001466    -0.0008778
      257.32    -0.0002174    -0.0007040
      257.33    -0.0002647    -0.0006433
      257.34    -0.0003157    -0.0006914
      257.35    -0.0002262    -0.0007377
      257.36    -0.0004219    -0.0007327
      257.37    -0.0002548    -0.0006966
      257.38    -0.0004210    -0.0007234
      257.39    -0.0003933    -0.0007570
      257.40    -0.0002542    -0.0007409
      257.41    -0.0002446    -0.0007391
      257.43    -0.0002994    -0.0007565
      257.44    -0.0002365    -0.0007555
      257.45    -0.0000438    -0.0008077
      257.46    -0.0001984    -0.0006296
      257.47    -0.0002433    -0.0008800
      257.48    -0.0002770    -0.0007781
      257.49    -0.0003191    -0.0007798
      257.50    -0.0005189    -0.0006480
      257.51    -0.0001742    -0.0008175
      257.52    -0.0002303    -0.0007344
      257.54    -0.0001116    -0.0005726
      257.55    -0.0001661    -0.0009127
      257.56    -0.0002894    -0.0006520
      257.57    -0.0003518    -0.0008039
      257.58    -0.0002507    -0.0007783
      257.59    -0.0000528    -0.0006803
      257.60    -0.0003438    -0.0008033
      257.61    -0.0003950    -0.0007666
      257.62    -0.0002760    -0.0008370
      257.63    -0.0002115    -0.0007485
      257.65    -0.0003274    -0.0007237
      257.66    -0.0004030    -0.0006980
      257.67    -0.0003605    -0.0007542
      257.68    -0.0002393    -0.0007265
      257.69    -0.0001971    -0.0006334
      257.70    -0.0001292    -0.0006802
      257.71    -0.0002234    -0.0008511
