   37.56 C
      frequency    real         imag
      256.81    -0.0008637    -0.0017898
      256.82    -0.0008838    -0.0018678
      256.83    -0.0010475    -0.0017565
      256.84    -0.0009062    -0.0019405
      256.85    -0.0008055    -0.0018507
      256.86    -0.0010752    -0.0019994
      256.88    -0.0008833    -0.0017511
      256.89    -0.0008112    -0.0018175
      256.90    -0.0009207    -0.0019263
      256.91    -0.0007063    -0.0019576
      256.92    -0.0010279    -0.0017802
      256.93    -0.0008374    -0.0019664
      256.94    -0.0008884    -0.0017038
      256.95    -0.0009890    -0.0020400
      256.96    -0.0008475    -0.0017798
      256.97    -0.0007865    -0.0017751
      256.99    -0.0008804    -0.0017372
      257.00    -0.0009667    -0.0017778
      257.01    -0.0009043    -0.0018360
      257.02    -0.0009330    -0.0019232
      257.03    -0.0009870    -0.0018168
      257.04    -0.0008624    -0.0018369
      257.05    -0.0006753    -0.0018463
      257.06    -0.0008302    -0.0018394
      257.07    -0.0007966    -0.0019264
      257.08    -0.0008476    -0.0018655
      257.10    -0.0009034    -0.0021094
      257.11    -0.0007581    -0.0018896
      257.12    -0.0008347    -0.0019254
      257.13    -0.0010240    -0.0020062
      257.14    -0.0007776    -0.0019374
      257.15    -0.0008994    -0.0017495
      257.16    -0.0008856    -0.0020580
      257.17    -0.0008238    -0.0019507
      257.18    -0.0011154    -0.0019053
      257.19    -0.0008940    -0.0018601
      257.21    -0.0008456    -0.0020209
      257.22    -0.0009142    -0.0017746
      257.23    -0.0007600    -0.0018696
      257.24    -0.0008130    -0.0019462
      257.25    -0.0008286    -0.0017864
      257.26    -0.0009924    -0.0018993
      257.27    -0.0008828    -0.0018479
      257.28    -0.0009085    -0.0019395
      257.29    -0.0008295    -0.0019351
      257.30    -0.0007730    -0.0018138
      257.32    -0.0009439    -0.0019712
      257.33    -0.0006836    -0.0018714
      257.34    -0.0007967    -0.0017881
      257.35    -0.0007812    -0.0020596
      257.36    -0.0009135    -0.0020053
      257.37    -0.0008483    -0.0019047
      257.38    -0.0007567    -0.0020326
      257.39    -0.0009438    -0.0019645
      257.40    -0.0008125    -0.0019212
      257.41    -0.0008858    -0.0019270
      257.43    -0.0008013    -0.0020620
      257.44    -0.0008976    -0.0021413
      257.45    -0.0008593    -0.0020058
      257.46    -0.0008600    -0.0020116
      257.47    -0.0008149    -0.0019396
      257.48    -0.0007829    -0.0017036
      257.49    -0.0008332    -0.0020710
      257.50    -0.0009906    -0.0021891
      257.51    -0.0006598    -0.0020197
      257.52    -0.0009602    -0.0020867
      257.54    -0.0006717    -0.0020423
      257.55    -0.0008203    -0.0019985
      257.56    -0.0007648    -0.0018394
      257.57    -0.0008992    -0.0018014
      257.58    -0.0007590    -0.0019118
      257.59    -0.0009626    -0.0019781
      257.60    -0.0010609    -0.0020972
      257.61    -0.0007894    -0.0019202
      257.62    -0.0008360    -0.0020292
      257.63    -0.0008222    -0.0021442
      257.65    -0.0009578    -0.0019107
      257.66    -0.0008373    -0.0018880
      257.67    -0.0009076    -0.0019677
      257.68    -0.0008650    -0.0019224
      257.69    -0.0008908    -0.0021000
      257.70    -0.0008920    -0.0020358
      257.71    -0.0009328    -0.0020970
      257.72    -0.0009057    -0.0021496
      257.73    -0.0007974    -0.0020696
      257.74    -0.0009594    -0.0020427
      257.76    -0.0009841    -0.0021296
      257.77    -0.0008551    -0.0021979
      257.78    -0.0008930    -0.0018709
      257.79    -0.0009324    -0.0021127
      257.80    -0.0009000    -0.0020233
      257.81    -0.0009056    -0.0021307
      257.82    -0.0009270    -0.0021384
      257.83    -0.0009654    -0.0020968
      257.84    -0.0009225    -0.0018558
      257.85    -0.0011293    -0.0019898
      257.87    -0.0008192    -0.0021724
      257.88    -0.0009994    -0.0021237
      257.89    -0.0010637    -0.0021117
      257.90    -0.0009207    -0.0021199
      257.91    -0.0008188    -0.0020134
      257.92    -0.0009613    -0.0018310
      257.93    -0.0009719    -0.0021795
      257.94    -0.0010267    -0.0019638
      257.95    -0.0009451    -0.0021523
      257.96    -0.0009366    -0.0020643
      257.98    -0.0009746    -0.0022242
      257.99    -0.0009727    -0.0018700
      258.00    -0.0006860    -0.0021060
      258.01    -0.0009496    -0.0021397
      258.02    -0.0009571    -0.0021277
